id_nome,id_ano,resale_price_Lakh
3.3666097103924297,2.275529241045097,5.66
2.889488455672767,2.1535348850835785,6.64
3.0308176084692366,2.2362759418974236,5.65
3.667639706056411,1.7038518787108556,23.0
3.4457909564400544,1.8799431377665368,6.87
3.843730965112092,2.2309471083923564,115.0
3.299662920761816,1.7038518787108556,7.85
3.843730965112092,2.2582702356035913,5.95
3.5427009694481106,1.9067148576472779,38.75
3.667639706056411,1.9516363624216118,9.6
3.667639706056411,1.9488613083668396,3.49
3.299662920761816,2.180973133430518,26.5
3.24167097378413,1.689916100767563,3.1
3.667639706056411,2.1953709541311603,10.22
2.802338279953867,2.521511670378173,4.55
3.3666097103924297,2.2309471083923564,7.18
2.8660073598232443,2.396572933769873,3.78
3.5427009694481106,1.9629173728313007,49.5
3.667639706056411,1.9067148576472779,6.75
3.24167097378413,2.0878561094396004,9.85
3.24167097378413,2.2582702356035913,5.5
3.843730965112092,1.7520640075164076,15.0
3.144760960776073,2.119455095511303,6.68
3.4457909564400544,1.6437016985583217,21.0
2.968669701720392,2.843730965112092,2.46
3.843730965112092,2.0176561624112654,43.0
3.5427009694481106,2.180973133430518,7.75
3.843730965112092,2.119455095511303,7.33
3.843730965112092,1.7700126147659694,8.5
3.5427009694481106,2.275529241045097,15.75
3.667639706056411,1.6437016985583217,11.5
3.843730965112092,1.689916100767563,3.95
3.4457909564400544,1.8799431377665368,7.34
3.5427009694481106,2.1953709541311603,7.59
3.843730965112092,2.3523692712778193,9.0
2.802338279953867,2.176278012222138,7.12
3.843730965112092,2.1670373554872255,32.5
3.667639706056411,2.2309471083923564,10.49
3.5427009694481106,1.6437016985583217,7.5
2.889488455672767,2.5013082842898857,4.54
3.843730965112092,1.7627439182012048,7.5
3.4457909564400544,2.588458460008786,4.08
3.5427009694481106,2.843730965112092,11.25
3.5427009694481106,2.1153771830908634,4.08
3.667639706056411,1.9516363624216118,9.15
3.667639706056411,1.6423338407916406,4.5
3.843730965112092,1.8943409584671793,0.85
3.299662920761816,2.1235716617061353,5.5
3.3666097103924297,2.1624897277365047,9.21
3.843730965112092,2.127727621477293,9.0
3.667639706056411,2.3523692712778193,16.5
