id_modelos,resale_price_Lakh
3.1016845990153943,5.66
2.41880141457283,6.64
2.5990092398233435,5.65
3.6659560294539566,23.0
2.7628660424620133,6.87
3.143077284173619,115.0
3.2979792441593623,7.85
3.842047288509638,5.95
3.5410172928456567,38.75
3.6659560294539566,9.6
2.887804779070313,3.49
3.2979792441593623,26.5
2.6659560294539566,3.1
3.6659560294539566,10.22
1.8552755542433932,4.55
3.1016845990153943,7.18
2.117771418908849,3.78
3.5410172928456567,49.5
3.6659560294539566,6.75
3.0291339318667823,9.85
3.1888347747342944,5.5
3.1016845990153943,4.25
3.6659560294539566,15.0
2.4106835243506506,6.68
3.1888347747342944,21.0
2.5990092398233435,2.46
3.2399872971816754,43.0
3.2399872971816754,7.75
3.842047288509638,7.33
2.8208579894397,8.5
2.9389573015176946,15.75
3.5410172928456567,11.5
3.842047288509638,3.95
3.364926033789976,7.34
3.364926033789976,7.59
3.6659560294539566,9.0
2.3649260337899753,7.12
3.842047288509638,32.5
3.5410172928456567,10.49
2.781349448156026,7.5
2.42707394053882,4.54
3.842047288509638,7.5
3.1016845990153943,4.08
3.1888347747342944,11.25
3.4441072798376005,4.08
3.6659560294539566,9.15
3.4441072798376005,4.5
3.6659560294539566,0.85
2.887804779070313,5.5
2.842047288509638,9.21
3.6659560294539566,9.0
3.6659560294539566,16.5
3.6659560294539566,8.0
3.143077284173619,4.0
3.0638960381259945,2.5
3.0291339318667823,2.95
3.6659560294539566,34.0
2.4898647703982757,2.75
3.5410172928456567,5.5
3.6659560294539566,29.75
3.842047288509638,10.25
2.5990092398233435,2.75
3.2399872971816754,3.9
3.5410172928456567,2.5
2.563293687556809,3.4
2.5990092398233435,5.94
2.966986025117938,2.5
3.842047288509638,6.43
3.1888347747342944,5.77
3.842047288509638,10.2
3.143077284173619,3.3
3.364926033789976,2.5
2.461836046798032,6.6
3.6659560294539566,8.75
3.842047288509638,5.9
2.1096535286866693,6.7
2.800654603351413,8.5
3.5410172928456567,2.85
3.0638960381259945,3.4
2.2292634317899025,2.43
3.5410172928456567,1.05
3.842047288509638,8.1
1.8552755542433932,5.06
3.1888347747342944,8.42
3.5410172928456567,7.0
2.1096535286866693,5.75
2.117771418908849,4.64
3.1888347747342944,5.58
2.6959192528313998,6.47
3.2979792441593623,7.25
3.1016845990153943,3.9
3.364926033789976,20.5
3.364926033789976,4.73
2.912628362795345,17.5
3.1016845990153943,10.25
3.5410172928456567,3.2
3.842047288509638,11.0
3.143077284173619,9.17
1.8552755542433932,5.38
1.8552755542433932,4.31
3.5410172928456567,2.45
2.887804779070313,2.31
2.800654603351413,4.98
3.2399872971816754,3.5
2.0977543053869616,4.65
3.1016845990153943,9.52
3.2979792441593623,4.5
3.6659560294539566,16.0
2.42707394053882,4.8
3.1016845990153943,5.0
3.364926033789976,2.0
3.2399872971816754,6.92
3.842047288509638,17.0
2.41880141457283,7.6
3.364926033789976,4.85
3.6659560294539566,3.49
2.912628362795345,7.1
2.5410172928456567,2.45
3.2399872971816754,5.64
3.1888347747342944,5.5
3.5410172928456567,11.0
3.1888347747342944,6.99
3.1016845990153943,5.34
3.842047288509638,17.0
2.7628660424620133,7.45
2.012743515678613,2.8
3.4441072798376005,11.0
3.2399872971816754,6.0
3.5410172928456567,10.0
3.4441072798376005,3.64
2.7451372755015817,3.4
3.143077284173619,2.53
3.4441072798376005,12.17
3.1888347747342944,6.6
2.41880141457283,5.74
1.8552755542433932,5.96
3.364926033789976,5.12
3.2399872971816754,1.95
3.0291339318667823,9.75
2.1096535286866693,5.64
2.781349448156026,2.1
2.996949248495381,6.4
2.887804779070313,2.65
2.394889257167419,7.23
3.842047288509638,19.5
3.2399872971816754,2.35
2.842047288509638,3.99
3.842047288509638,1.5
2.4441072798376005,2.0
3.5410172928456567,9.2
3.842047288509638,15.95
2.887804779070313,5.65
3.6659560294539566,9.5
2.7628660424620133,6.25
3.842047288509638,7.38
3.1888347747342944,1.18
2.6517155903393466,0.75635
2.4996246076874318,5.0
2.435507108075683,2.35
2.7628660424620133,8.13
3.6659560294539566,1.2
3.842047288509638,16.85
2.7281039362028014,4.54
3.842047288509638,13.2
2.711713520014632,1.7
3.0291339318667823,9.5
2.41880141457283,7.1
3.2979792441593623,7.81
3.6659560294539566,11.15
3.6659560294539566,8.13
3.6659560294539566,6.72
3.2979792441593623,5.0
2.8643236832207903,16.4
3.4441072798376005,2.1
3.1888347747342944,5.5
3.6659560294539566,26.5
2.0977543053869616,4.83
2.012743515678613,3.7
3.143077284173619,15.08
3.5410172928456567,13.21
3.143077284173619,4.75
3.2399872971816754,3.6
2.842047288509638,10.0
3.4441072798376005,18.5
2.6517155903393466,4.45
2.5990092398233435,6.39
3.364926033789976,19.86
3.2979792441593623,1.75
2.7451372755015817,3.0
1.8552755542433932,4.21
2.2979792441593623,2.49
3.2399872971816754,7.95
2.4898647703982757,2.1
3.6659560294539566,6.39
3.6659560294539566,8.67
2.5096088285940326,3.99
3.2399872971816754,0.5
2.4106835243506506,6.39
3.6659560294539566,6.39
3.842047288509638,15.79
2.8643236832207903,7.95
3.1888347747342944,6.64
1.8552755542433932,4.8
