transmission_type,id_transmissao,body_type,id_body_type,modelo,id_modelos,marca,categoria_marca,id_categoria_marca,mileage,ano,city,id_city,insurance,id_insurance,seats,engine_capacity,fuel_type,id_fuel_type,kms_driven,max_power,owner_type,id_owner_type,resale_price_Lakh
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Polo Petrol Trendline 1.2L,0.5993676774303471,Volkswagen,baixa,0.2695348073865004,17.8,2012.0,Gurgaon,1.2221060330847242,Comprehensive,0.44691375314468196,5.0,1198.0,Petrol,0.1808108436013733,55809.0,73.9,Second Owner,0.6196441032904012,2.54
Manual,0.13063448358318142,Sedan,0.5776796017468651,Swift Dzire ZDI,0.29955356632334845,Maruti,muito baixa,0.5146410003069729,17.03,2015.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,5.0,1248.0,Diesel,0.5145358569867878,120000.0,74.0,First Owner,0.1513159043723507,5.0
Manual,0.13063448358318142,SUV,0.6002632621852876,Bolero Neo N8 BSVI,0.6877978260236047,Mahindra,baixa,0.2695348073865004,26.0,2021.0,Mumbai,0.9237651759315242,Third Party,0.2561672213768721,7.0,1493.0,Diesel,0.5145358569867878,20000.0,100.0,First Owner,0.1513159043723507,11.5
Manual,0.13063448358318142,Sedan,0.5776796017468651,Xcent 1.2 Kappa S Option,0.29955356632334845,Hyundai,baixa,0.2695348073865004,18.9,2015.0,Pune,1.0951613137788256,Comprehensive,0.44691375314468196,5.0,1197.0,Petrol,0.1808108436013733,45000.0,81.8,First Owner,0.1513159043723507,4.5
Manual,0.13063448358318142,Minivans,2.298082139257138,Eeco CNG 5 Seater AC BSIV,0.29955356632334845,Maruti,muito baixa,0.5146410003069729,33.0,2017.0,Agra,1.8777380209834806,Third Party,0.2561672213768721,5.0,1196.0,CNG,1.5242096868527688,150000.0,61.7,First Owner,0.1513159043723507,3.0
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Swift LXI BSIV,0.6877978260236047,Maruti,muito baixa,0.5146410003069729,19.34,2020.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,5.0,1197.0,Petrol,0.1808108436013733,61976.0,81.8,First Owner,0.1513159043723507,5.25
Automatic,0.5851602224980227,Hatchback,0.36313833386560074,Micra CVT XV,0.29955356632334845,Nissan,baixa,0.2695348073865004,19.81,2018.0,Chennai,1.130591051963374,Comprehensive,0.44691375314468196,5.0,1198.0,Petrol,0.1808108436013733,38000.0,75.9,First Owner,0.1513159043723507,5.65
Automatic,0.5851602224980227,SUV,0.6002632621852876,Hector Sharp DCT,0.6877978260236047,MG,média-baixa,0.9847733374715463,17.6,2020.0,Mumbai,0.9237651759315242,Third Party,0.2561672213768721,5.0,1451.0,Petrol,0.1808108436013733,36000.0,141.0,First Owner,0.1513159043723507,15.99
Manual,0.13063448358318142,Sedan,0.5776796017468651,Amaze S i-Dtech,0.5993676774303471,Honda,baixa,0.2695348073865004,12.07,2013.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,5.0,1498.0,Diesel,0.5145358569867878,65000.0,98.6,First Owner,0.1513159043723507,2.45
Manual,0.13063448358318142,Sedan,0.5776796017468651,Amaze SX i VTEC,0.29955356632334845,Honda,baixa,0.2695348073865004,22.77,2015.0,Chennai,1.130591051963374,Comprehensive,0.44691375314468196,5.0,1198.0,Petrol,0.1808108436013733,35534.0,86.7,First Owner,0.1513159043723507,5.15
Manual,0.13063448358318142,SUV,0.6002632621852876,Vitara Brezza VXI,0.6877978260236047,Maruti,muito baixa,0.5146410003069729,18.6,2021.0,Delhi,0.768863215945781,Comprehensive,0.44691375314468196,5.0,1462.0,Petrol,0.1808108436013733,11000.0,103.2,First Owner,0.1513159043723507,8.8
Manual,0.13063448358318142,Sedan,0.5776796017468651,City i DTEC SV,0.5993676774303471,Honda,baixa,0.2695348073865004,17.0,2014.0,Ahmedabad,1.1106443702845317,Third Party,0.2561672213768721,5.0,1498.0,Diesel,0.5145358569867878,110000.0,98.6,Second Owner,0.6196441032904012,5.03
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Grand i10 1.2 Kappa Sportz BSIV,0.29955356632334845,Hyundai,baixa,0.2695348073865004,19.15,2018.0,Gurgaon,1.2221060330847242,Zero Dep,1.3090775235586007,5.0,1197.0,Petrol,0.1808108436013733,23111.0,81.8,First Owner,0.1513159043723507,4.65
Automatic,0.5851602224980227,SUV,0.6002632621852876,ZS EV Exclusive,0.6877978260236047,MG,média-baixa,0.9847733374715463,17.69,2021.0,Kolkata,1.1705962136349577,Third Party,0.2561672213768721,5.0,0.0,Electric,2.4584931940276564,32800.0,140.8,First Owner,0.1513159043723507,18.0
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Alto 800 LXI Opt CNG,0.29955356632334845,Maruti,muito baixa,0.5146410003069729,21.21,2019.0,Ahmedabad,1.1106443702845317,Third Party,0.2561672213768721,5.0,796.0,CNG,1.5242096868527688,60000.0,47.3,Second Owner,0.6196441032904012,4.75
Automatic,0.5851602224980227,Hatchback,0.36313833386560074,Micra XV CVT,0.5993676774303471,Nissan,baixa,0.2695348073865004,17.43,2014.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,5.0,1198.0,Petrol,0.1808108436013733,67000.0,76.0,Second Owner,0.6196441032904012,3.35
Manual,0.13063448358318142,Hatchback,0.36313833386560074,i10 Magna 1.1L,0.5993676774303471,Hyundai,baixa,0.2695348073865004,17.29,2014.0,Ahmedabad,1.1106443702845317,Third Party,0.2561672213768721,5.0,1086.0,Petrol,0.1808108436013733,74418.0,68.0,Second Owner,0.6196441032904012,3.12
Automatic,0.5851602224980227,SUV,0.6002632621852876,Creta 1.6 SX Automatic Diesel,0.29955356632334845,Hyundai,baixa,0.2695348073865004,15.8,2018.0,Delhi,0.768863215945781,Comprehensive,0.44691375314468196,5.0,1582.0,Diesel,0.5145358569867878,57263.0,126.2,First Owner,0.1513159043723507,9.87
