marca,id_marcas,engine_capacity,id_insurance,insurance,id_transmissao,transmission_type,ano,kms_driven,owner_type,id_owner_type,fuel_type,id_fuel_type,max_power,seats,mileage,id_body_type,body_type,id_city,city,resale_price_Lakh
Land,2.4203441182736567,2179.0,0.2566333215136202,Third Party,0.5831023826138171,Automatic,2020.0,26542.0,Second Owner,0.6203282546085825,Diesel,0.5149186383392457,147.5,7.0,12.83,0.5988691236058242,SUV,0.7676996810762409,Delhi,57.75
Toyota,1.3828395027895357,2494.0,0.2566333215136202,Third Party,0.5831023826138171,Automatic,2014.0,60000.0,Third Owner,1.365235730644157,Petrol,0.18033354506727076,158.2,5.0,19.16,0.5780531058996504,Sedan,1.170307007311498,Kolkata,10.0
Honda,0.9762380635245456,1497.0,1.4186443333957626,Not Available,0.1313588447382279,Manual,2016.0,49706.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,117.3,5.0,17.8,0.5780531058996504,Sedan,1.2231987490929124,Gurgaon,5.5
Honda,0.9762380635245456,1498.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2018.0,80000.0,First Owner,0.15046506698925197,Diesel,0.5149186383392457,98.6,5.0,25.8,0.5780531058996504,Sedan,1.1117169408591543,Ahmedabad,6.0
Maruti,0.5414395158001966,1197.0,1.4186443333957626,Not Available,0.1313588447382279,Manual,2022.0,33488.0,First Owner,0.15046506698925197,CNG,1.5302191084460808,70.6,5.0,37.492,3.428944290035574,Cars,1.1117169408591543,Ahmedabad,5.9
Maruti,0.5414395158001966,998.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2015.0,80000.0,First Owner,0.15046506698925197,CNG,1.5302191084460808,58.1,5.0,26.6,0.36411207029700055,Hatchback,0.7676996810762409,Delhi,2.55
Maruti,0.5414395158001966,1373.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2017.0,52645.0,Third Owner,1.365235730644157,Petrol,0.18033354506727076,91.1,5.0,20.73,0.5780531058996504,Sedan,1.13052790997428,Chennai,5.79
Toyota,1.3828395027895357,1798.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2016.0,81800.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,138.0,5.0,14.28,0.5780531058996504,Sedan,1.2231987490929124,Gurgaon,8.5
Honda,0.9762380635245456,1198.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2015.0,105227.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,86.7,5.0,18.0,0.5780531058996504,Sedan,1.281577182241788,Jaipur,3.79
Maruti,0.5414395158001966,1586.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2010.0,120000.0,Second Owner,0.6203282546085825,Petrol,0.18033354506727076,103.3,5.0,15.5,0.5780531058996504,Sedan,1.2231987490929124,Gurgaon,2.2
Land,2.4203441182736567,2993.0,0.44540820843258205,Comprehensive,0.5831023826138171,Automatic,2019.0,17000.0,First Owner,0.15046506698925197,Diesel,0.5149186383392457,296.0,5.0,12.65,0.5988691236058242,SUV,0.8683204154856445,Bangalore,166.0
Tata,1.2308372911621728,1248.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2010.0,120000.0,Second Owner,0.6203282546085825,Diesel,0.5149186383392457,88.77,5.0,18.8,0.5780531058996504,Sedan,1.281577182241788,Jaipur,1.6
Fiat,2.4377182143430796,1368.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2009.0,120000.0,Fourth Owner,2.115077069666421,Petrol,0.18033354506727076,88.77,5.0,16.0,0.5780531058996504,Sedan,0.8683204154856445,Bangalore,1.9
Skoda,1.6933453903373945,1798.0,0.44540820843258205,Comprehensive,0.5831023826138171,Automatic,2009.0,84817.0,Second Owner,0.6203282546085825,Petrol,0.18033354506727076,157.7,5.0,13.7,0.5780531058996504,Sedan,0.8683204154856445,Bangalore,5.5
Renault,1.4194933942368804,1461.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2015.0,100000.0,First Owner,0.15046506698925197,Diesel,0.5149186383392457,108.4,5.0,19.64,0.5988691236058242,SUV,1.2231987490929124,Gurgaon,4.25
Maruti,0.5414395158001966,796.0,1.30640076596682,Zero Dep,0.1313588447382279,Manual,2015.0,18623.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,47.3,5.0,22.05,0.36411207029700055,Hatchback,0.9227099304234485,Mumbai,2.79
Maruti,0.5414395158001966,1248.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2012.0,125542.0,First Owner,0.15046506698925197,Diesel,0.5149186383392457,74.0,5.0,28.4,0.5780531058996504,Sedan,1.0271992077985115,Hyderabad,4.2
Mahindra,1.3292636489263243,2179.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2013.0,100000.0,Second Owner,0.6203282546085825,Diesel,0.5149186383392457,140.0,7.0,15.1,0.5988691236058242,SUV,1.593888188315458,Chandigarh,4.2
Maruti,0.5414395158001966,1197.0,1.30640076596682,Zero Dep,0.1313588447382279,Manual,2019.0,32436.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,81.8,5.0,21.21,0.5780531058996504,Sedan,1.2231987490929124,Gurgaon,5.69
Hyundai,0.6776651860522321,1197.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2017.0,13851.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,81.8,5.0,18.6,0.36411207029700055,Hatchback,0.7676996810762409,Delhi,5.54
Maruti,0.5414395158001966,1248.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2018.0,61000.0,First Owner,0.15046506698925197,Diesel,0.5149186383392457,88.5,5.0,25.1,0.5988691236058242,SUV,1.1117169408591543,Ahmedabad,8.95
Maruti,0.5414395158001966,1197.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2015.0,16000.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,83.1,5.0,21.4,0.36411207029700055,Hatchback,0.9227099304234485,Mumbai,5.25
Hyundai,0.6776651860522321,1396.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2017.0,59964.0,First Owner,0.15046506698925197,Diesel,0.5149186383392457,88.7,5.0,21.38,0.5988691236058242,SUV,0.9227099304234485,Mumbai,9.3
Mahindra,1.3292636489263243,1197.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2020.0,49000.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,108.6,5.0,16.82,0.5988691236058242,SUV,1.1117169408591543,Ahmedabad,9.9
Maruti,0.5414395158001966,1248.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2018.0,20000.0,First Owner,0.15046506698925197,Diesel,0.5149186383392457,88.5,5.0,25.1,0.5988691236058242,SUV,0.7676996810762409,Delhi,7.5
Maruti,0.5414395158001966,1197.0,0.44540820843258205,Comprehensive,0.5831023826138171,Automatic,2017.0,16202.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,81.8,5.0,20.89,0.36411207029700055,Hatchback,0.8683204154856445,Bangalore,6.23
Tata,1.2308372911621728,1199.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2021.0,10000.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,118.3,5.0,17.57,0.5988691236058242,SUV,0.9227099304234485,Mumbai,11.0
Volkswagen,1.488427805103007,1968.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2012.0,63185.0,Second Owner,0.6203282546085825,Diesel,0.5149186383392457,138.1,5.0,19.33,0.5780531058996504,Sedan,0.9227099304234485,Mumbai,4.36
Maruti,0.5414395158001966,1197.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2012.0,60606.0,Second Owner,0.6203282546085825,Petrol,0.18033354506727076,88.5,5.0,22.38,0.36411207029700055,Hatchback,0.8683204154856445,Bangalore,4.43
Maruti,0.5414395158001966,1197.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2015.0,26285.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,88.5,5.0,22.41,0.5780531058996504,Sedan,1.0961020230412228,Pune,4.91
Hyundai,0.6776651860522321,1086.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2019.0,57435.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,68.0,5.0,20.3,0.36411207029700055,Hatchback,1.0271992077985115,Hyderabad,5.06
Ford,1.4718160923587613,1196.0,0.44540820843258205,Comprehensive,0.1313588447382279,Manual,2015.0,91000.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,86.8,5.0,18.16,0.5780531058996504,Sedan,0.7676996810762409,Delhi,3.74
Maruti,0.5414395158001966,1462.0,0.2566333215136202,Third Party,0.5831023826138171,Automatic,2019.0,19586.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,103.2,5.0,20.28,0.5780531058996504,Sedan,1.0961020230412228,Pune,9.43
