id_transmissao,transmission_type,body_type,id_body_type,modelo,id_modelos,marca,id_categoria_marca,ano,max_power,max_power_group,id_max_power_group,resale_price_Lakh
0.1313588447382279,Manual,Sedan,0.5780531058996504,Amaze S i-Vtech,2.428944290035574,Honda,0.07353108606611604,2015.0,86.7,0-100 bhp,0.20664410886178067,4.12
0.1313588447382279,Manual,SUV,0.5988691236058242,Compass 2.0 Limited Option 4X4,3.650793039651931,Jeep,0.9036402800773355,2018.0,170.0,100-200 bhp,0.44604017224294634,12.12
0.1313588447382279,Manual,Sedan,0.5780531058996504,Swift Dzire VXi,2.872641789268287,Maruti,0.07353108606611604,2011.0,85.8,0-100 bhp,0.20664410886178067,2.29
0.5831023826138171,Automatic,SUV,0.5988691236058242,X5 xDrive 30d xLine,3.525854303043631,BMW,1.5067380125965582,2020.0,261.5,200-300 bhp,1.7586984369614505,67.0
0.1313588447382279,Manual,Sedan,0.5780531058996504,Amaze VX i-VTEC,3.428944290035574,Honda,0.07353108606611604,2018.0,86.7,0-100 bhp,0.20664410886178067,6.75
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Wagon R LXI CNG,2.2141004419878767,Maruti,0.07353108606611604,2013.0,58.1,0-100 bhp,0.20664410886178067,2.6
0.5831023826138171,Automatic,Hatchback,0.36411207029700055,Celerio VXI AMT,2.872641789268287,Maruti,0.07353108606611604,2015.0,65.7,0-100 bhp,0.20664410886178067,3.76
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Wagon R LXI BS IV,2.4747017805962495,Maruti,0.07353108606611604,2014.0,67.0,0-100 bhp,0.20664410886178067,2.6
0.5831023826138171,Automatic,SUV,0.5988691236058242,Q5 45 TFSI Technology,3.826884298707612,Audi,0.9036402800773355,2019.0,248.0,200-300 bhp,1.7586984369614505,44.0
0.1313588447382279,Manual,Hatchback,0.36411207029700055,Ignis 1.2 Alpha BSIV,3.3497630439879496,Maruti,0.07353108606611604,2019.0,81.8,0-100 bhp,0.20664410886178067,5.83
