full_name,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,resale_price_Lakh
3.086521609213368,2019.0,1199.0,0.2566333215136202,0.1313588447382279,30910.0,0.15046506698925197,0.18033354506727076,83.8,5.0,23.84,0.36411207029700055,1.0961020230412228,5.66
2.4036384247708042,2018.0,1199.0,1.30640076596682,0.1313588447382279,48089.0,1.365235730644157,0.18033354506727076,88.7,5.0,17.5,0.5988691236058242,1.281577182241788,6.64
2.5838462500213177,2015.0,1497.0,0.2566333215136202,0.1313588447382279,51000.0,0.6203282546085825,0.18033354506727076,117.3,5.0,17.4,0.5780531058996504,0.9227099304234485,5.65
3.650793039651931,2021.0,1956.0,0.2566333215136202,0.5831023826138171,30000.0,0.15046506698925197,0.5149186383392457,167.6,7.0,14.08,0.5988691236058242,0.9227099304234485,23.0
2.747703052659987,2019.0,1197.0,1.30640076596682,0.5831023826138171,61113.0,0.15046506698925197,0.18033354506727076,83.1,5.0,21.4,0.36411207029700055,1.170307007311498,6.87
3.1279142943715934,2021.0,2993.0,0.2566333215136202,0.5831023826138171,31738.0,0.15046506698925197,0.5149186383392457,261.4,4.0,17.66,0.5780531058996504,1.0961020230412228,115.0
3.2828162543573365,2021.0,1197.0,0.2566333215136202,0.1313588447382279,30000.0,0.6203282546085825,0.18033354506727076,81.8,5.0,17.52,0.5988691236058242,0.7676996810762409,7.85
3.826884298707612,2015.0,1598.0,0.2566333215136202,0.1313588447382279,80000.0,1.365235730644157,0.18033354506727076,103.5,5.0,16.09,0.5780531058996504,0.8683204154856445,5.95
3.525854303043631,2018.0,1995.0,0.2566333215136202,0.5831023826138171,36000.0,0.15046506698925197,0.5149186383392457,187.7,5.0,22.48,0.5780531058996504,0.7676996810762409,38.75
3.650793039651931,2021.0,999.0,0.2566333215136202,0.5831023826138171,14608.0,0.15046506698925197,0.18033354506727076,98.6,5.0,18.24,0.5988691236058242,0.8683204154856445,9.6
2.872641789268287,2019.0,999.0,0.44540820843258205,0.1313588447382279,25000.0,0.15046506698925197,0.18033354506727076,67.0,5.0,21.74,0.36411207029700055,0.7676996810762409,3.49
2.650793039651931,2018.0,999.0,0.2566333215136202,0.1313588447382279,30000.0,0.6203282546085825,0.18033354506727076,67.0,5.0,23.01,0.36411207029700055,1.170307007311498,3.1
3.650793039651931,2019.0,1497.0,1.30640076596682,0.5831023826138171,46034.0,0.15046506698925197,0.5149186383392457,108.5,5.0,21.5,0.5988691236058242,1.0271992077985115,10.22
1.8401125644413672,2013.0,1197.0,0.2566333215136202,0.1313588447382279,50824.0,0.15046506698925197,0.18033354506727076,88.5,5.0,22.38,0.36411207029700055,1.0271992077985115,4.55
3.086521609213368,2017.0,1497.0,1.30640076596682,0.5831023826138171,120848.0,0.15046506698925197,0.18033354506727076,117.6,5.0,18.0,0.5780531058996504,0.8683204154856445,7.18
2.102608429106823,2015.0,1197.0,0.2566333215136202,0.1313588447382279,36888.0,0.6203282546085825,0.18033354506727076,88.5,5.0,22.41,0.5780531058996504,0.7676996810762409,3.78
3.650793039651931,2018.0,1248.0,0.44540820843258205,0.1313588447382279,83083.0,0.15046506698925197,0.5149186383392457,74.0,5.0,27.39,0.36411207029700055,1.281577182241788,6.75
3.0139709420647565,2018.0,2498.0,0.2566333215136202,0.1313588447382279,59889.0,0.15046506698925197,0.5149186383392457,105.0,6.0,16.55,0.5988691236058242,0.8683204154856445,9.85
3.173671784932268,2018.0,1194.0,1.30640076596682,0.1313588447382279,45600.0,0.15046506698925197,0.18033354506727076,94.6,5.0,19.0,0.36411207029700055,1.0271992077985115,5.5
3.650793039651931,2019.0,2179.0,0.2566333215136202,0.5831023826138171,80000.0,0.15046506698925197,0.5149186383392457,152.8,7.0,15.1,0.5988691236058242,1.0271992077985115,15.0
2.395520534548625,2017.0,1197.0,0.44540820843258205,0.1313588447382279,26997.0,0.15046506698925197,0.18033354506727076,81.8,5.0,18.6,0.36411207029700055,1.0271992077985115,6.68
3.173671784932268,2022.0,1451.0,0.2566333215136202,0.5831023826138171,10000.0,0.6203282546085825,0.18033354506727076,141.0,5.0,0.0,0.5988691236058242,0.7676996810762409,21.0
2.5838462500213177,2011.0,1197.0,0.2566333215136202,0.1313588447382279,63386.0,0.15046506698925197,0.18033354506727076,78.9,5.0,20.36,0.36411207029700055,1.0961020230412228,2.46
3.2248243073796496,2017.0,1999.0,0.44540820843258205,0.5831023826138171,56000.0,0.15046506698925197,0.5149186383392457,177.0,5.0,16.38,0.5988691236058242,0.8683204154856445,43.0
3.2248243073796496,2017.0,1199.0,0.44540820843258205,0.5831023826138171,47000.0,0.15046506698925197,0.18033354506727076,88.7,5.0,18.2,0.36411207029700055,0.8683204154856445,7.75
3.826884298707612,2017.0,1498.0,0.44540820843258205,0.1313588447382279,70681.0,0.15046506698925197,0.5149186383392457,98.5,5.0,22.77,0.5988691236058242,0.8683204154856445,7.33
2.805694999637674,2020.0,1591.0,0.2566333215136202,0.1313588447382279,30000.0,0.15046506698925197,0.18033354506727076,121.3,5.0,17.0,0.5780531058996504,1.2231987490929124,8.5
2.9237943117156684,2019.0,1582.0,0.44540820843258205,0.5831023826138171,56000.0,0.15046506698925197,0.5149186383392457,126.2,5.0,17.6,0.5988691236058242,0.8683204154856445,15.75
3.525854303043631,2022.0,1462.0,0.2566333215136202,0.1313588447382279,30000.0,0.15046506698925197,1.5302191084460808,91.1,7.0,0.0,1.347596982231442,0.7676996810762409,11.5
